#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD894E
#Date Time: 2026-04-19 16:05:44.642.071.720
#Sample rate: 3.125e+06Hz
#Samples: 32768
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 2 (V)
-0.00524288,0.7153535894287119
-0.00524256,0.7153535894287119
-0.00524224,0.7088355398694962
-0.00524192,0.7153535894287119
-0.0052416,0.7079043899324517
-0.00524128,0.7013863403732242
-0.00524096,0.7041797901843218
-0.00524064,0.7023174903102603
-0.00524032,0.7079043899324534
-0.00524,0.7088355398694843
-0.00523968,0.7051109401213543
-0.00523936,0.7060420900583868
-0.00523904,0.7116289896805716
-0.00523872,0.7162847393657359
-0.0052384,0.7116289896805819
-0.00523808,0.7051109401213543
-0.00523776,0.7079043899324517
-0.00523744,0.7116289896805751
-0.00523712,0.7125601396175991
-0.0052368,0.7041797901843218
-0.00523648,0.7041797901843218
-0.00523616,0.7041797901843218
-0.00523584,0.7069732399954193
-0.00523552,0.7041797901843269
-0.0052352,0.7069732399954193
-0.00523488,0.7069732399954193
-0.00523456,0.7069732399954193
-0.00523424,0.7153535894287119
-0.00523392,0.7134912895546502
-0.0052336,0.7041797901843218
-0.00523328,0.7097666898065168
-0.00523296,0.7079043899324517
-0.00523264,0.7069732399954193
-0.00523232,0.7069732399954193
-0.005232,0.711628989680587
-0.00523168,0.7144224394916794
-0.00523136,0.7088355398694843
-0.00523104,0.7116289896805819
-0.00523072,0.7116289896805819
-0.0052304,0.7134912895546417
-0.00523008,0.7106978397435493
-0.00522976,0.7162847393657443
-0.00522944,0.7060420900583868
-0.00522912,0.7060420900583868
-0.0052288,0.7097666898065185
-0.00522848,0.7106978397435493
-0.00522816,0.7097666898065168
-0.00522784,0.7079043899324517
-0.00522752,0.7051109401213543
-0.0052272,0.7106978397435391
-0.00522688,0.7060420900583868
-0.00522656,0.7069732399954193
-0.00522624,0.7023174903102568
-0.00522592,0.7079043899324517
-0.0052256,0.7106978397435442
-0.00522528,0.7060420900583987
-0.00522496,0.7125601396176143
-0.00522464,0.7144224394916794
-0.00522432,0.7116289896805819
-0.005224,0.7097666898065202
-0.00522368,0.7125601396176109
-0.00522336,0.7106978397435493
-0.00522304,0.7069732399954193
-0.00522272,0.7041797901843218
-0.0052224,0.7106978397435374
-0.00522208,0.7125601396176127
-0.00522176,0.7116289896805819
-0.00522144,0.7051109401213543
-0.00522112,0.7097666898065168
-0.0052208,0.7060420900583868
-0.00522048,0.7069732399954176
-0.00522016,0.7134912895546468
-0.00521984,0.7041797901843218
-0.00521952,0.7097666898065168
-0.0052192,0.7088355398694843
-0.00521888,0.7097666898065151
-0.00521856,0.7069732399954345
-0.00521824,0.7153535894287119
-0.00521792,0.7097666898065168
-0.0052176,0.7097666898065168
-0.00521728,0.7060420900583936
-0.00521696,0.7069732399954209
-0.00521664,0.7079043899324517
-0.00521632,0.7051109401213543
-0.005216,0.7051109401213543
-0.00521568,0.7060420900583851
-0.00521536,0.7144224394916862
-0.00521504,0.7181470392398094
-0.00521472,0.7116289896805819
-0.0052144,0.7069732399954193
-0.00521408,0.7060420900583868
-0.00521376,0.7088355398694962
-0.00521344,0.7153535894287119
-0.00521312,0.7134912895546468
-0.0052128,0.7144224394916794
-0.00521248,0.7144224394916794
-0.00521216,0.7097666898065252
-0.00521184,0.7097666898065185
-0.00521152,0.7106978397435493
-0.0052112,0.7172158893027769
-0.00521088,0.7106978397435493
-0.00521056,0.7106978397435493
-0.00521024,0.714422439491671
-0.00520992,0.7097666898065168
-0.0052096,0.7125601396176143
-0.00520928,0.7134912895546468
-0.00520896,0.7097666898065236
-0.00520864,0.7134912895546468
-0.00520832,0.7134912895546468
-0.005208,0.7106978397435493
-0.00520768,0.7162847393657443
-0.00520736,0.7088355398694843
-0.00520704,0.7125601396176143
-0.00520672,0.7125601396176143
-0.0052064,0.7153535894287119
-0.00520608,0.7144224394916794
-0.00520576,0.7134912895546468
-0.00520544,0.7041797901843387
-0.00520512,0.7051109401213543
-0.0052048,0.7134912895546468
-0.00520448,0.7097666898065168
-0.00520416,0.7032486402472893
-0.00520384,0.7069732399954125
-0.00520352,0.7134912895546536
-0.0052032,0.7172158893027769
-0.00520288,0.7106978397435493
-0.00520256,0.7032486402472893
-0.00520224,0.7079043899324433
-0.00520192,0.7116289896805819
-0.0052016,0.7116289896805819
-0.00520128,0.7079043899324517
-0.00520096,0.7069732399954193
-0.00520064,0.7004551904362036
-0.00520032,0.7079043899324602
-0.0052,0.7125601396176143
-0.00519968,0.7079043899324517
-0.00519936,0.7144224394916794
-0.00519904,0.7162847393657443
-0.00519872,0.7116289896805903
-0.0051984,0.7153535894287119
